repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,min-go-version,liveness
mewkiz/flac,271,4,2,2,0,14.760,1,6,4033,9,Go,false,5,Audio and Music,,1.14,20.000
Comcast/gaad,114,1,0,0,0,8.772,18,296,2685,20,Go,false,0,Audio and Music,,1.18,2.000
DylanMeeus/GoAudio,302,2,1,1,1,6.623,0,650,1231,3,Go,false,0,Audio and Music,,1.16,20.000
dh1tw/gosamplerate,29,0,0,0,0,0.000,92,1225,2553,4,Go,false,0,Audio and Music,,1.14,0.000
bogem/id3v2,308,5,3,0,0,16.234,11,193,2742,12,Go,false,1,Audio and Music,,1.13,5.000
gen2brain/malgo,236,5,2,2,0,21.186,1,0,2199,12,C,false,0,Audio and Music,,1.17,40.000
tosone/minimp3,112,1,1,0,0,8.929,9,108,2122,2,C,false,0,Audio and Music,,1.18,5.000
hajimehoshi/oto,1385,18,11,3,1,12.996,0,28,2388,20,Go,false,2,Audio and Music,,1.18,27.000
gordonklaus/portaudio,629,10,6,3,1,15.898,0,131,2985,5,Go,false,0,Audio and Music,,1.18,25.000
volatiletech/authboss,3529,19,7,3,0,5.384,2,10,3241,27,Go,false,4,Authentication and OAuth,,1.19,20.000
essentialkaos/branca,67,2,0,0,0,29.851,22,63,1784,2,Go,false,2,Authentication and OAuth,,1.18,2.000
hsluoyz/casbin,16027,183,84,42,7,11.418,0,19,2415,158,Go,false,3,Authentication and OAuth,,1.13,54.000
mengzhuo/cookiestxt,12,0,0,0,0,0.000,418,372,2230,1,Go,false,0,Authentication and OAuth,,1.17,0.000
shaj13/go-guardian,503,8,4,3,2,15.905,0,261,1282,5,Go,false,7,Authentication and OAuth,,1.13,20.000
go-jose/go-jose,179,12,7,6,1,67.039,0,1,1197,3,Go,false,3,Authentication and OAuth,,1.12,35.000
dghubble/gologin,1646,6,3,1,0,3.645,4,10,3070,9,Go,false,7,Authentication and OAuth,,1.19,15.000
mikespook/gorbac,1509,8,2,1,0,5.302,3,311,3614,7,Go,false,0,Authentication and OAuth,,1.18,10.000
markbates/goth,4405,49,21,9,1,11.124,0,45,3321,147,Go,false,10,Authentication and OAuth,,1.15,40.000
abraithwaite/jeff,258,0,0,0,0,0.000,46,877,1933,3,Go,false,6,Authentication and OAuth,,1.14,0.000
pascaldekloe/jwt,341,2,1,1,0,5.865,2,202,2067,2,Go,false,0,Authentication and OAuth,,1.18,10.000
cristalhq/jwt,625,3,0,0,0,4.800,18,0,1581,14,Go,false,0,Authentication and OAuth,,1.19,32.000
adam-hanna/jwt-auth,231,1,1,1,0,4.329,2,838,2691,5,Go,false,0,Authentication and OAuth,,,10.000
golang-jwt/jwt,5627,145,65,29,2,25.769,0,0,913,100,Go,false,0,Authentication and OAuth,,1.18,80.000
ory/keto,4332,66,34,23,1,15.235,0,30,2072,73,Go,false,42,Authentication and OAuth,,1.21,50.000
tarent/loginsrv,1904,1,0,0,0,0.525,16,1009,2562,42,Go,false,11,Authentication and OAuth,,1.14,2.000
golang/oauth2,4951,43,21,12,2,8.685,0,9,3504,231,Go,false,3,Authentication and OAuth,,1.18,45.000
openshift/osin,1846,8,2,1,0,4.334,3,611,3720,2536,Go,false,6,Authentication and OAuth,,1.15,10.000
grijul/otpgen,131,1,1,1,0,7.634,6,833,899,3,Go,false,0,Authentication and OAuth,,1.16,10.000
jltorresm/otpgo,61,1,0,0,0,16.393,16,993,1185,1,Go,false,1,Authentication and OAuth,,1.14,2.000
o1egl/paseto,767,7,3,1,0,9.126,4,439,2125,4,Go,false,4,Authentication and OAuth,,1.14,10.000
xyproto/permissions2,495,1,0,0,0,2.020,29,37,3285,7,Go,false,0,Authentication and OAuth,,,2.000
SonicRoshan/scope,33,0,0,0,0,0.000,41,906,1517,2,Go,false,1,Authentication and OAuth,,1.16,0.000
alexedwards/scs,1693,81,36,24,1,47.844,0,5,2657,31,Go,false,0,Authentication and OAuth,,1.12,60.000
chmike/securecookie,74,0,0,0,0,0.000,140,272,2266,3,Go,false,1,Authentication and OAuth,,1.13,0.000
icza/session,111,0,0,0,0,0.000,300,462,2840,2,Go,false,0,Authentication and OAuth,,,0.000
adam-hanna/sessions,75,0,0,0,0,0.000,103,1311,2394,1,Go,false,2,Authentication and OAuth,,1.14,0.000
swithek/sessionup,122,0,0,0,0,0.000,60,575,1578,3,Go,false,2,Authentication and OAuth,,1.12,0.000
brianvoe/sjwt,113,0,0,0,0,0.000,85,1520,1612,3,Go,false,0,Authentication and OAuth,,1.12,0.000
cometbft/cometbft,392,19,8,3,0,48.469,1,0,330,58,Go,false,40,Blockchain,,1.21,45.000
cosmos/cosmos-sdk,5512,77,28,13,1,13.970,0,0,2842,539,Go,false,57,Blockchain,,1.21,70.000
ethereum/go-ethereum,44075,339,143,82,10,7.691,0,0,3613,967,Go,false,70,Blockchain,,1.20,82.000
ChainSafe/gossamer,399,4,2,0,0,10.025,7,2,1754,73,Go,false,41,Blockchain,,1.21,15.000
ipfs/kubo,15495,84,31,13,0,5.421,1,1,3432,426,Go,false,89,Blockchain,,1.20,50.000
gagliardetto/solana-go,460,7,3,2,1,15.217,0,2,871,31,Go,false,32,Blockchain,,1.16,30.000
tendermint/tendermint,5568,18,10,6,0,3.233,2,288,3474,249,Go,false,43,Blockchain,,1.18,15.000
go-telegram/bot,229,25,10,3,0,109.170,3,32,571,7,Go,false,0,Bot Building,,1.18,15.000
NicoNex/echotron,287,10,3,2,0,34.843,1,48,1579,9,Go,false,0,Bot Building,,1.19,10.000
ewohltman/ephemeral-roles,82,1,1,1,1,12.195,0,11,2159,5,Go,false,12,Bot Building,,1.21,25.000
go-chat-bot/bot,802,2,1,0,0,2.494,8,659,2978,31,Go,false,12,Bot Building,,1.13,5.000
oklahomer/go-sarah,259,0,0,0,0,0.000,58,138,2568,3,Go,false,6,Bot Building,,1.11,0.000
olebedev/go-tgbot,119,0,0,0,0,0.000,60,1972,2533,3,Go,false,0,Bot Building,,,0.000
gempir/go-twitch-irc,312,4,3,1,0,12.821,1,299,2430,24,Go,false,0,Bot Building,,1.12,10.000
saniales/golang-crypto-trading-bot,950,13,8,5,0,13.684,2,114,2378,7,Go,false,19,Bot Building,,1.20,15.000
nikepan/govkbot,45,1,0,0,0,22.222,27,17,2685,2,Go,false,1,Bot Building,,1.19,4.000
sbstjn/hanu,149,1,0,0,0,6.711,25,1900,2619,2,Go,false,0,Bot Building,,,2.000
stellar/kelp,1037,11,7,5,1,10.608,0,721,1927,57,Go,false,27,Bot Building,,1.13,25.000
ezeoleaf/larry,150,1,0,0,0,6.667,17,8,1096,8,Go,false,9,Bot Building,,1.18,7.000
zhulik/margelet,81,0,0,0,0,0.000,60,2616,2918,6,Go,false,0,Bot Building,,,0.000
onrik/micha,26,0,0,0,0,0.000,60,144,2773,1,Go,false,2,Bot Building,,1.19,0.000
olivia-ai/olivia,3619,21,11,6,1,5.803,0,853,1991,19,Go,false,10,Bot Building,,1.12,25.000
innogames/slack-bot,153,4,4,2,0,26.144,1,10,1583,20,Go,false,24,Bot Building,,1.20,15.000
shomali11/slacker,810,12,5,4,0,14.815,2,11,2373,26,Go,false,4,Bot Building,,1.18,15.000
alexandre-normand/slackscot,56,0,0,0,0,0.000,60,726,2949,7,Go,false,15,Bot Building,,1.13,0.000
yanzay/tbot,342,3,0,0,0,8.772,22,28,2989,12,Go,false,0,Bot Building,,1.12,4.000
tucnak/telebot,3332,46,17,9,2,13.806,0,15,3067,69,Go,false,3,Bot Building,,1.13,27.000
mymmrac/telego,291,14,8,2,0,48.110,1,2,873,7,Go,false,6,Bot Building,,1.20,25.000
Syfaro/telegram-bot-api,5078,71,38,20,5,13.982,0,394,3068,88,Go,false,0,Bot Building,,1.16,50.000
alfiankan/teleterm,31,0,0,0,0,0.000,38,138,1051,3,Go,false,7,Bot Building,,1.18,0.000
kyleterry/tenyks,176,0,0,0,0,0.000,50,1529,4101,5,Go,false,5,Bot Building,,1.12,0.000
wabarc/wayback,1499,33,16,11,2,22.015,0,175,1253,5,Go,false,50,Bot Building,,1.18,25.000
gopinath-langote/1build,218,0,0,0,0,0.000,52,915,1669,15,Go,false,6,Build Automation,,1.12,0.000
GuilhermeCaruso/anko,33,0,0,0,0,0.000,52,964,990,1,Go,false,2,Build Automation,,1.16,0.000
maxcnunes/gaper,76,0,0,0,0,0.000,52,204,1981,1,Go,false,5,Build Automation,,1.13,0.000
goyek/goyek,404,2,1,0,0,4.950,7,12,1132,7,Go,false,0,Build Automation,,1.11,10.000
magefile/mage,3735,30,11,6,1,8.032,0,37,2249,74,Go,false,0,Build Automation,,1.12,25.000
tj/mmake,1689,7,4,0,0,4.144,8,1355,2466,11,Go,false,4,Build Automation,,1.13,5.000
tockins/realize,4425,11,4,3,0,2.486,2,1292,2685,28,Go,false,0,Build Automation,,,10.000
go-task/task,8919,196,86,39,4,21.976,0,0,2455,149,Go,false,16,Build Automation,,1.20,80.000
taskctl/taskctl,270,2,1,0,0,7.407,10,621,1466,3,Go,false,13,Build Automation,,1.16,5.000
joerdav/xc,910,10,6,3,0,10.989,4,44,764,8,Go,false,3,Build Automation,,1.20,15.000
guptarohit/asciigraph,2345,18,7,3,0,7.676,2,124,1980,9,Go,false,0,Command Line,Advanced Console UIs,1.11,15.000
logrusorgru/aurora,1356,7,3,2,0,5.162,2,405,2567,9,Go,false,1,Command Line,Advanced Console UIs,1.19,10.000
Delta456/box-cli-maker,423,32,28,27,0,75.650,1,40,1296,8,Go,false,7,Command Line,Advanced Console UIs,1.15,30.000
Evertras/bubble-table,262,13,9,3,0,49.618,2,32,644,7,Go,false,6,Command Line,Advanced Console UIs,1.17,15.000
charmbracelet/bubbles,4004,138,77,40,7,34.466,0,35,1399,49,Go,false,10,Command Line,Advanced Console UIs,1.17,52.000
charmbracelet/bubbletea,20853,725,396,184,17,34.767,0,10,1407,93,Go,false,9,Command Line,Advanced Console UIs,1.17,57.000
mingrammer/cfmt,98,2,2,1,0,20.408,4,1806,2073,4,Go,false,1,Command Line,Advanced Console UIs,,10.000
i582/cfmt,60,0,0,0,0,0.000,60,876,1099,1,Go,false,1,Command Line,Advanced Console UIs,1.15,0.000
ttacon/chalk,435,3,2,1,0,6.897,4,2700,3409,3,Go,false,0,Command Line,Advanced Console UIs,,10.000
TreyBastian/colourize,26,0,0,0,0,0.000,418,488,3112,1,Go,true,0,Command Line,Advanced Console UIs,,0.000
alfiankan/crab-config-files-templating,7,0,0,0,0,0.000,52,484,516,1,Go,false,2,Command Line,Advanced Console UIs,1.18,0.000
wzshiming/ctc,45,1,0,0,0,22.222,27,1221,2030,1,Go,false,1,Command Line,Advanced Console UIs,1.13,2.000
workanator/go-ataman,16,0,0,0,0,0.000,52,1060,2375,1,Go,false,0,Command Line,Advanced Console UIs,,0.000
mattn/go-colorable,717,3,2,1,0,4.184,6,240,3398,21,Go,false,1,Command Line,Advanced Console UIs,1.15,10.000
daviddengcn/go-colortext,214,0,0,0,0,0.000,161,1328,3951,5,Go,false,1,Command Line,Advanced Console UIs,1.14,0.000
mattn/go-isatty,757,10,5,3,0,13.210,2,32,3518,28,Go,false,1,Command Line,Advanced Console UIs,1.15,10.000
abusomani/go-palette,14,0,0,0,0,0.000,50,253,259,2,Go,false,1,Command Line,Advanced Console UIs,1.19,0.000
c-bata/go-prompt,5051,24,8,6,2,4.752,0,990,2286,24,Go,false,5,Command Line,Advanced Console UIs,1.14,25.000
jroimartin/gocui,9451,34,16,7,0,3.598,1,825,3605,20,Go,false,1,Command Line,Advanced Console UIs,1.16,15.000
gookit/color,1396,14,9,4,1,10.029,0,11,1966,13,Go,false,3,Command Line,Advanced Console UIs,1.18,30.000
charmbracelet/lipgloss,6627,216,92,35,0,32.594,1,28,991,23,Go,false,3,Command Line,Advanced Console UIs,1.17,42.000
cyucelen/marker,44,2,2,1,0,45.455,2,508,1542,10,Go,false,2,Command Line,Advanced Console UIs,1.12,10.000
vbauerster/mpb,2125,17,8,4,0,8.000,2,35,2529,10,Go,false,4,Command Line,Advanced Console UIs,1.17,15.000
schollz/progressbar,3592,73,38,20,1,20.323,0,8,2213,47,Go,false,5,Command Line,Advanced Console UIs,1.13,55.000
pterm/pterm,4304,66,32,15,2,15.335,0,12,1156,40,Go,false,9,Command Line,Advanced Console UIs,1.21,55.000
alexeyco/simpletable,486,17,9,2,1,34.979,0,959,2425,5,Go,false,1,Command Line,Advanced Console UIs,1.16,25.000
briandowns/spinner,2186,19,10,4,1,8.692,0,172,3262,49,Go,false,3,Command Line,Advanced Console UIs,1.17,25.000
cheynewallace/tabby,338,2,1,1,0,5.917,5,1060,1796,2,Go,false,0,Command Line,Advanced Console UIs,,10.000
tomlazar/table,46,0,0,0,0,0.000,37,423,1152,3,Go,false,3,Command Line,Advanced Console UIs,1.15,0.000
InVisionApp/tabular,74,0,0,0,0,0.000,38,190,2034,5,Go,false,0,Command Line,Advanced Console UIs,,0.000
nsf/termbox-go,4585,10,5,4,0,2.181,1,648,4327,63,Go,false,1,Command Line,Advanced Console UIs,1.15,10.000
mum4k/termdash,2385,16,4,3,1,6.709,0,282,2064,18,Go,false,4,Command Line,Advanced Console UIs,1.20,20.000
muesli/termenv,1521,26,12,5,1,17.094,0,17,1442,17,Go,false,5,Command Line,Advanced Console UIs,1.17,27.000
gizak/termui,12700,39,15,11,0,3.071,1,7,3209,48,Go,false,3,Command Line,Advanced Console UIs,1.15,20.000
gosuri/uilive,1626,23,4,3,0,14.145,2,1415,2924,10,Go,false,0,Command Line,Advanced Console UIs,1.10,10.000
gosuri/uiprogress,2049,5,2,1,0,2.440,3,975,2923,10,Go,false,1,Command Line,Advanced Console UIs,1.15,10.000
gosuri/uitable,716,3,3,1,0,4.190,5,448,2926,6,Go,false,0,Command Line,Advanced Console UIs,,10.000
theckman/yacspin,419,5,3,2,0,11.933,3,684,1420,2,Go,false,5,Command Line,Advanced Console UIs,1.17,10.000
cristalhq/acmd,100,1,1,0,0,10.000,13,68,751,6,Go,false,0,Command Line,Standard CLI,1.17,5.000
akamensky/argparse,564,8,2,1,0,14.184,3,464,2185,16,Go,false,0,Command Line,Standard CLI,1.13,10.000
cosiner/argv,39,0,0,0,0,0.000,41,1311,2491,4,Go,false,0,Command Line,Standard CLI,1.13,0.000
rsteube/carapace,142,11,6,3,0,77.465,1,13,1340,11,Go,false,4,Command Line,Standard CLI,1.15,20.000
rsteube/carapace-bin,450,101,95,12,1,224.444,0,3,1306,16,Go,false,10,Command Line,Standard CLI,1.21,60.000
rsteube/carapace-spec,10,2,2,0,0,200.000,10,12,566,1,Go,false,5,Command Line,Standard CLI,1.18,10.000
mkideal/cli,701,1,1,0,0,1.427,8,256,2821,10,Go,false,7,Command Line,Standard CLI,1.13,5.000
teris-io/cli,121,0,0,0,0,0.000,41,922,2368,4,Go,false,0,Command Line,Standard CLI,,0.000
tucnak/climax,211,1,1,0,0,4.739,11,1169,2936,3,Go,false,0,Command Line,Standard CLI,1.15,5.000
leaanthony/clir,160,2,0,0,0,12.500,15,297,1460,7,Go,false,0,Command Line,Standard CLI,1.12,2.000
posener/cmd,41,2,0,0,0,48.780,14,1146,1481,2,Go,false,3,Command Line,Standard CLI,1.13,2.000
hedzr/cmdr,124,0,0,0,0,0.000,34,34,1648,2,Go,false,10,Command Line,Standard CLI,1.18,0.000
spf13/cobra,34144,443,200,101,13,12.974,0,4,3727,293,Go,false,4,Command Line,Standard CLI,1.15,62.000
rainu/go-command-chain,50,0,0,0,0,0.000,32,198,919,1,Go,false,1,Command Line,Standard CLI,1.16,0.000
jaffee/commandeer,172,0,0,0,0,0.000,41,423,2228,7,Go,false,2,Command Line,Standard CLI,1.12,0.000
posener/complete,900,3,2,2,1,3.333,0,1075,2387,13,Go,false,2,Command Line,Standard CLI,1.13,20.000
dnote/dnote,2600,12,6,4,0,4.615,2,175,2423,22,Go,false,23,Command Line,Standard CLI,1.20,15.000
elves/elvish,5176,24,11,3,0,4.637,1,84,3807,76,Go,false,8,Command Line,Standard CLI,1.19,15.000
codingconcepts/env,107,0,0,0,0,0.000,32,1183,2347,3,Go,false,0,Command Line,Standard CLI,,0.000
cosiner/flag,129,0,0,0,0,0.000,32,1055,2599,3,Go,false,1,Command Line,Standard CLI,1.4,0.000
integrii/flaggy,840,3,1,1,0,3.571,6,539,2084,10,Go,false,1,Command Line,Standard CLI,1.12,10.000
sgreben/flagvar,43,0,0,0,0,0.000,41,1224,2009,2,Go,false,1,Command Line,Standard CLI,1.14,0.000
grijul/go-andotp,26,1,0,0,0,38.462,28,229,922,2,Go,false,2,Command Line,Standard CLI,1.20,2.000
alexflint/go-arg,1746,20,9,3,1,11.455,0,38,2939,21,Go,false,2,Command Line,Standard CLI,1.18,25.000
yitsushi/go-commander,35,0,0,0,0,0.000,41,1272,2595,4,Go,true,2,Command Line,Standard CLI,1.13,0.000
jessevdk/go-flags,2463,13,6,3,1,5.278,0,894,4095,51,Go,false,1,Command Line,Standard CLI,1.15,25.000
DavidGamba/go-getoptions,51,2,1,0,0,39.216,9,13,2892,2,Go,false,0,Command Line,Standard CLI,1.16,10.000
devfacet/gocmd,66,0,0,0,0,0.000,41,227,2140,1,Go,false,1,Command Line,Standard CLI,1.17,0.000
liujianping/job,134,1,1,0,0,7.463,8,1236,1683,2,Shell,false,4,Command Line,Standard CLI,1.14,5.000
alecthomas/kingpin,3386,11,5,1,0,3.249,5,48,3474,63,Go,false,3,Command Line,Standard CLI,1.17,10.000
peterh/liner,1010,4,2,0,0,3.960,10,672,4111,24,Go,false,2,Command Line,Standard CLI,,5.000
jxskiss/mcli,24,0,0,0,0,0.000,30,31,681,3,Go,false,2,Command Line,Standard CLI,1.18,0.000
mitchellh/cli,1691,6,3,3,0,3.548,1,413,3667,25,Go,false,6,Command Line,Standard CLI,1.11,10.000
jawher/mow.cli,863,5,1,1,0,5.794,1,845,3256,14,Go,false,1,Command Line,Standard CLI,1.13,10.000
nanovms/ops,1139,10,5,2,0,8.780,4,0,1894,56,Go,false,44,Command Line,Standard CLI,1.19,40.000
spf13/pflag,2221,22,12,6,0,9.905,2,896,3731,11,Go,false,0,Command Line,Standard CLI,1.12,15.000
Zaba505/sand,22,0,0,0,0,0.000,41,1822,1825,1,Go,false,3,Command Line,Standard CLI,,0.000
octago/sflags,148,0,0,0,0,0.000,41,845,2539,7,Go,false,8,Command Line,Standard CLI,,0.000
antham/strumt,57,0,0,0,0,0.000,41,263,2342,2,Go,false,1,Command Line,Standard CLI,,0.000
bobg/subcmd,6,0,0,0,0,0.000,41,101,1206,1,Go,false,2,Command Line,Standard CLI,1.14,0.000
go-survey/survey,3978,13,7,5,0,3.268,1,55,2574,69,Go,true,9,Command Line,Standard CLI,1.13,0.000
liujianping/ts,20,1,1,1,0,50.000,3,1600,1607,1,Go,false,6,Command Line,Standard CLI,1.12,10.000
ukautz/clif,125,0,0,0,0,0.000,41,1733,3093,4,Go,false,0,Command Line,Standard CLI,,0.000
urfave/cli,20947,128,52,30,5,6.111,0,38,3779,249,Go,false,2,Command Line,Standard CLI,1.18,50.000
mszostok/version,79,1,1,1,0,12.658,6,195,483,3,Go,false,13,Command Line,Standard CLI,1.19,10.000
dixonwille/wlog,63,1,1,1,1,15.873,0,19,2774,2,Go,false,2,Command Line,Standard CLI,1.11,22.000
dixonwille/wmenu,196,1,1,1,0,5.102,1,19,2767,11,Go,false,3,Command Line,Standard CLI,1.11,12.000
cristalhq/aconfig,486,3,0,0,0,6.173,15,68,1239,15,Go,false,0,Configuration,,1.16,2.000
ilyakaznacheev/cleanenv,1230,44,16,7,2,35.772,0,74,1589,16,Go,false,4,Configuration,,1.13,25.000
JeremyLoy/config,331,2,0,0,0,6.042,17,729,1690,1,Go,false,0,Configuration,,1.16,2.000
num30/config,44,2,0,0,0,45.455,24,87,565,1,Go,false,7,Configuration,,1.19,2.000
olebedev/config,268,1,0,0,0,3.731,29,452,3497,12,Go,false,0,Configuration,,,2.000
BoRuDar/configuration,84,0,0,0,0,0.000,53,478,1451,2,Go,false,0,Configuration,,1.18,0.000
paked/configure,56,0,0,0,0,0.000,53,1733,3079,4,Go,false,0,Configuration,,,0.000
sherifabdlnaby/configuro,89,2,0,0,0,22.472,15,419,1317,4,Go,false,8,Configuration,,,2.000
heetch/confita,477,1,0,0,0,2.096,24,878,2158,21,Go,false,8,Configuration,,1.12,2.000
the4thamigo-uk/conflate,30,1,1,0,0,33.333,13,115,2115,2,Go,false,6,Configuration,,1.14,5.000
caarlos0/env,3994,120,85,29,4,30.045,0,21,3035,57,Go,false,0,Configuration,,1.17,52.000
junk1tm/env,42,1,0,0,0,23.810,28,3,676,2,Go,false,0,Configuration,,1.21,12.000
tomazk/envcfg,102,1,0,0,0,9.804,21,2342,3275,3,Go,false,0,Configuration,,,2.000
ian-kent/envconf,11,0,0,0,0,0.000,418,3309,3309,1,Go,false,0,Configuration,,,0.000
vrischmann/envconfig,235,0,0,0,0,0.000,63,1054,3132,8,Go,false,1,Configuration,,1.12,0.000
antham/envh,97,0,0,0,0,0.000,53,166,2500,3,Go,false,2,Configuration,,1.18,0.000
kkyr/fig,284,6,5,4,0,21.127,1,3,1401,6,Go,false,3,Configuration,,1.20,20.000
go-gcfg/gcfg,165,0,0,0,0,0.000,53,1223,3014,5,Go,false,0,Configuration,,,0.000
sakirsensoy/genv,34,0,0,0,0,0.000,53,1574,1587,1,Go,false,0,Configuration,,1.12,0.000
PaddleHQ/go-aws-ssm,54,0,0,0,0,0.000,46,975,1759,94,Go,false,2,Configuration,,1.12,0.000
ThomasObenaus/go-conf,10,0,0,0,0,0.000,53,759,1024,1,Go,false,8,Configuration,,1.15,0.000
subpop/go-ini,10,1,1,0,0,100.000,9,955,1528,1,Go,false,1,Configuration,,1.12,5.000
ianlopshire/go-ssm-config,18,0,0,0,0,0.000,53,39,1446,3,Go,false,2,Configuration,,1.11,0.000
ufoscout/go-up,43,0,0,0,0,0.000,53,1404,2099,1,Go,false,1,Configuration,,1.13,0.000
crgimenes/goConfig,3,0,0,0,0,0.000,258,101,537,16,Go,false,1,Configuration,,1.21,0.000
joho/godotenv,6870,150,75,40,3,21.834,0,163,3763,34,Go,false,0,Configuration,,1.12,50.000
ian-kent/gofigure,67,0,0,0,0,0.000,65,2390,3280,2,Go,false,0,Configuration,,,0.000
golobby/config,345,3,1,0,0,8.696,12,316,1494,7,Go,false,5,Configuration,,1.16,5.000
milad-abbasi/gonfig,7,0,0,0,0,0.000,53,837,1030,1,Go,false,4,Configuration,,1.15,0.000
gookit/config,489,5,1,0,0,10.225,13,28,1960,14,Go,false,11,Configuration,,1.19,7.000
beatlabs/harvester,129,0,0,0,0,0.000,45,11,1684,14,Go,false,4,Configuration,,1.21,5.000
hjson/hjson-go,308,1,0,0,0,3.247,17,25,2660,15,Go,false,0,Configuration,,1.11,4.000
gurkankaymak/hocon,66,2,0,0,0,30.303,14,29,1356,9,Go,false,0,Configuration,,,4.000
schachmat/ingo,36,0,0,0,0,0.000,255,2420,2840,1,Go,false,0,Configuration,,,0.000
go-ini/ini,3353,17,9,6,0,5.070,2,466,3257,59,Go,false,0,Configuration,,,15.000
wlevene/ini,14,0,0,0,0,0.000,38,127,826,1,Go,false,1,Configuration,,1.16,0.000
joshbetz/config,216,0,0,0,0,0.000,53,1484,2420,2,Go,false,0,Configuration,,1.12,0.000
kelseyhightower/envconfig,4726,29,14,7,0,6.136,2,430,3663,46,Go,false,0,Configuration,,,15.000
knadh/koanf,2090,45,20,10,0,21.531,1,1,1614,41,Go,false,3,Configuration,,1.18,25.000
lalamove/konfig,641,1,0,0,0,1.560,26,1284,1764,19,Go,false,20,Configuration,,1.14,2.000
alecthomas/kong,1631,32,18,11,1,19.620,0,4,2048,57,Go,false,2,Configuration,,1.18,35.000
sasbury/mini,34,0,0,0,0,0.000,200,1787,3124,1,Go,false,1,Configuration,,,0.000
nasermirzaei89/env,10,0,0,0,0,0.000,418,381,1578,1,Go,false,1,Configuration,,1.11,0.000
muir/nfigure,6,0,0,0,0,0.000,53,132,727,3,Go,false,9,Configuration,,1.16,0.000
goraz/onion,114,0,0,0,0,0.000,38,817,3040,5,Go,false,10,Configuration,,1.17,0.000
Yiling-J/piper,7,0,0,0,0,0.000,418,715,730,1,Go,false,3,Configuration,,1.16,0.000
tucnak/store,274,2,1,1,0,7.299,3,2264,2967,2,Go,false,0,Configuration,,,10.000
oblq/swap,8,0,0,0,0,0.000,353,996,1314,1,Go,false,3,Configuration,,1.14,0.000
diegomarangoni/typenv,9,0,0,0,0,0.000,415,1213,1235,1,Go,false,0,Configuration,,1.14,0.000
omeid/uconfig,64,1,1,0,0,15.625,8,44,2382,5,Go,false,2,Configuration,,1.18,5.000
spf13/viper,24531,288,141,61,10,11.740,0,35,3516,164,Go,false,15,Configuration,,1.18,52.000
adrg/xdg,478,8,5,3,0,16.736,3,8,3375,6,Go,false,2,Configuration,,1.19,15.000
OpenPeeDeeP/xdg,79,0,0,0,0,0.000,43,1124,2311,3,Go,false,1,Configuration,,,0.000
ovh/cds,4326,20,8,4,0,4.623,2,0,2594,106,Go,false,108,Continuous Integration,,1.21,45.000
drone/drone,30600,541,202,121,17,17.680,0,0,3571,34,Go,false,60,Continuous Integration,,1.19,82.000
duck8823/duci,74,0,0,0,0,0.000,418,264,2057,4,Go,true,19,Continuous Integration,,1.13,0.000
jidicula/go-fuzz-action,9,0,0,0,0,0.000,235,69,590,2,,false,0,Continuous Integration,,,0.000
vladopajic/go-test-coverage,27,4,1,1,0,148.148,6,2,237,1,Go,false,9,Continuous Integration,,1.21,20.000
nikogura/gomason,59,0,0,0,0,0.000,38,63,2191,2,Go,false,8,Continuous Integration,,1.13,0.000
GoTestTools/gotestfmt,441,9,4,2,0,20.408,2,166,932,5,Go,false,0,Continuous Integration,,1.16,10.000
mattn/goveralls,767,0,0,0,0,0.000,45,205,3867,72,Go,false,2,Continuous Integration,,1.13,0.000
go-playground/overalls,114,0,0,0,0,0.000,46,1430,3032,13,Go,false,0,Continuous Integration,,,0.000
LawrenceWoodman/roveralls,19,0,0,0,0,0.000,418,2189,2701,1,Go,false,0,Continuous Integration,,,0.000
woodpecker-ci/woodpecker,3182,88,49,25,0,27.656,1,0,1689,398,Go,false,60,Continuous Integration,,1.21,70.000
yosssi/gcss,488,2,1,0,0,4.098,7,3323,3361,2,Go,false,0,CSS Preprocessors,,,5.000
wellington/go-libsass,199,0,0,0,0,0.000,52,264,3134,11,C++,false,1,CSS Preprocessors,,1.18,0.000
iancmcc/bingo,26,0,0,0,0,0.000,35,450,818,1,Go,false,2,Data Structures and Algorithms,Bit-packing and Compression,1.17,0.000
zhuangsirui/binpacker,213,2,0,0,0,9.390,17,857,2846,5,Go,false,0,Data Structures and Algorithms,Bit-packing and Compression,,2.000
yourbasic/bit,155,0,0,0,0,0.000,40,2076,2389,1,Go,false,0,Data Structures and Algorithms,Bit-packing and Compression,,0.000
superwhiskers/crunch,90,1,1,1,0,11.111,3,308,1725,2,Go,false,0,Data Structures and Algorithms,Bit-packing and Compression,,10.000
amallia/go-ef,31,0,0,0,0,0.000,49,2244,2248,1,Go,false,0,Data Structures and Algorithms,Bit-packing and Compression,,0.000
RoaringBitmap/roaring,2193,17,9,4,1,7.752,0,39,3417,74,Go,false,3,Data Structures and Algorithms,Bit-packing and Compression,1.14,25.000
kelindar/bitmap,240,7,4,3,1,29.167,0,12,904,8,Assembly,false,3,Data Structures and Algorithms,Bit Sets,1.18,25.000
bits-and-blooms/bitset,1196,14,7,6,1,11.706,0,14,4574,35,Go,false,0,Data Structures and Algorithms,Bit Sets,1.16,27.000
